employee_skill_id,employee_id,skill_id,skill_name,proficiency_level,years_experience
ES00001,EMP00001,SKILL016,SQL,Expert,12
ES00002,EMP00001,SKILL027,Kubernetes,Advanced,13
ES00003,EMP00001,SKILL003,AWS,Intermediate,7
ES00004,EMP00002,SKILL007,Kubernetes,Expert,14
ES00005,EMP00002,SKILL018,Python,Advanced,3
ES00006,EMP00002,SKILL019,Data Analysis,Intermediate,5
ES00007,EMP00002,SKILL024,Python,Expert,13
ES00008,EMP00002,SKILL022,Data Analysis,Advanced,6
ES00009,EMP00003,SKILL014,Docker,Expert,13
ES00010,EMP00003,SKILL025,Communication,Advanced,6
ES00011,EMP00003,SKILL019,Python,Beginner,15
ES00012,EMP00004,SKILL005,AWS,Expert,7
ES00013,EMP00004,SKILL007,Docker,Beginner,9
ES00014,EMP00004,SKILL013,SQL,Expert,2
ES00015,EMP00005,SKILL019,Kubernetes,Advanced,2
ES00016,EMP00005,SKILL006,Java,Intermediate,1
ES00017,EMP00005,SKILL027,Communication,Expert,1
ES00018,EMP00005,SKILL006,SQL,Beginner,15
ES00019,EMP00006,SKILL010,SQL,Intermediate,5
ES00020,EMP00006,SKILL022,Git,Beginner,8
ES00021,EMP00006,SKILL002,AWS,Beginner,3
ES00022,EMP00006,SKILL011,Data Analysis,Expert,7
ES00023,EMP00006,SKILL006,Java,Intermediate,9
ES00024,EMP00007,SKILL016,Communication,Beginner,7
ES00025,EMP00007,SKILL029,Data Analysis,Intermediate,3
ES00026,EMP00007,SKILL028,SQL,Advanced,7
ES00027,EMP00007,SKILL027,Communication,Expert,3
ES00028,EMP00007,SKILL020,Agile,Advanced,10
ES00029,EMP00008,SKILL017,Communication,Expert,5
ES00030,EMP00008,SKILL007,Python,Intermediate,8
ES00031,EMP00008,SKILL003,Data Analysis,Expert,10
ES00032,EMP00009,SKILL017,AWS,Expert,8
ES00033,EMP00009,SKILL015,Agile,Beginner,12
ES00034,EMP00009,SKILL003,React,Expert,6
ES00035,EMP00010,SKILL013,Agile,Intermediate,7
ES00036,EMP00010,SKILL008,JavaScript,Expert,8
ES00037,EMP00010,SKILL013,Machine Learning,Intermediate,12
ES00038,EMP00010,SKILL019,Java,Expert,12
ES00039,EMP00011,SKILL008,Machine Learning,Intermediate,5
ES00040,EMP00011,SKILL029,Leadership,Advanced,11
ES00041,EMP00012,SKILL023,Communication,Intermediate,15
ES00042,EMP00012,SKILL016,Docker,Beginner,6
ES00043,EMP00013,SKILL025,Java,Advanced,7
ES00044,EMP00013,SKILL015,JavaScript,Advanced,4
ES00045,EMP00014,SKILL002,Kubernetes,Beginner,2
ES00046,EMP00014,SKILL021,Communication,Expert,7
ES00047,EMP00014,SKILL011,Communication,Expert,14
ES00048,EMP00014,SKILL007,Docker,Beginner,1
ES00049,EMP00014,SKILL009,Java,Intermediate,6
ES00050,EMP00014,SKILL022,Communication,Expert,8
ES00051,EMP00015,SKILL003,Java,Intermediate,12
ES00052,EMP00015,SKILL015,JavaScript,Expert,14
ES00053,EMP00015,SKILL009,Data Analysis,Intermediate,3
ES00054,EMP00015,SKILL027,Python,Beginner,3
ES00055,EMP00015,SKILL010,Java,Expert,3
ES00056,EMP00016,SKILL022,Project Management,Beginner,11
ES00057,EMP00016,SKILL009,JavaScript,Expert,6
ES00058,EMP00017,SKILL007,Communication,Beginner,15
ES00059,EMP00017,SKILL022,Git,Intermediate,8
ES00060,EMP00017,SKILL023,Python,Beginner,7
ES00061,EMP00018,SKILL015,Python,Beginner,1
ES00062,EMP00018,SKILL025,Docker,Intermediate,15
ES00063,EMP00018,SKILL008,AWS,Intermediate,4
ES00064,EMP00018,SKILL003,Python,Expert,1
ES00065,EMP00019,SKILL011,Data Analysis,Intermediate,11
ES00066,EMP00019,SKILL022,Java,Intermediate,15
ES00067,EMP00020,SKILL026,Data Analysis,Intermediate,12
ES00068,EMP00020,SKILL006,Python,Expert,9
ES00069,EMP00021,SKILL027,AWS,Advanced,9
ES00070,EMP00021,SKILL021,SQL,Intermediate,15
ES00071,EMP00022,SKILL013,Docker,Beginner,4
ES00072,EMP00022,SKILL007,Java,Advanced,6
ES00073,EMP00022,SKILL006,Python,Expert,11
ES00074,EMP00022,SKILL011,Python,Expert,4
ES00075,EMP00022,SKILL015,SQL,Beginner,11
ES00076,EMP00022,SKILL027,React,Advanced,1
ES00077,EMP00023,SKILL029,SQL,Expert,5
ES00078,EMP00023,SKILL025,Agile,Expert,2
ES00079,EMP00024,SKILL026,Machine Learning,Intermediate,5
ES00080,EMP00024,SKILL004,Agile,Advanced,11
ES00081,EMP00024,SKILL023,Docker,Intermediate,6
ES00082,EMP00024,SKILL006,Leadership,Advanced,14
ES00083,EMP00024,SKILL022,Kubernetes,Beginner,6
ES00084,EMP00024,SKILL001,Agile,Expert,7
ES00085,EMP00025,SKILL021,Communication,Intermediate,9
ES00086,EMP00025,SKILL019,Communication,Beginner,4
ES00087,EMP00025,SKILL001,Agile,Beginner,5
ES00088,EMP00025,SKILL008,Communication,Expert,13
ES00089,EMP00025,SKILL008,Agile,Beginner,1
ES00090,EMP00025,SKILL005,AWS,Expert,5
ES00091,EMP00026,SKILL005,Docker,Intermediate,11
ES00092,EMP00026,SKILL002,SQL,Expert,12
ES00093,EMP00026,SKILL029,AWS,Intermediate,5
ES00094,EMP00027,SKILL021,Project Management,Beginner,9
ES00095,EMP00027,SKILL026,Docker,Advanced,13
ES00096,EMP00027,SKILL001,SQL,Advanced,6
ES00097,EMP00027,SKILL008,SQL,Beginner,15
ES00098,EMP00028,SKILL026,Leadership,Intermediate,10
ES00099,EMP00028,SKILL028,Docker,Advanced,3
ES00100,EMP00028,SKILL015,Leadership,Beginner,2
ES00101,EMP00029,SKILL003,SQL,Beginner,11
ES00102,EMP00029,SKILL005,SQL,Intermediate,2
ES00103,EMP00029,SKILL006,Agile,Intermediate,4
ES00104,EMP00029,SKILL017,Java,Expert,12
ES00105,EMP00029,SKILL015,React,Intermediate,12
ES00106,EMP00030,SKILL008,Docker,Intermediate,10
ES00107,EMP00030,SKILL008,React,Advanced,10
ES00108,EMP00030,SKILL015,Leadership,Intermediate,5
ES00109,EMP00031,SKILL003,AWS,Expert,7
ES00110,EMP00031,SKILL006,Kubernetes,Expert,7
ES00111,EMP00031,SKILL017,Agile,Expert,13
ES00112,EMP00031,SKILL005,Data Analysis,Expert,1
ES00113,EMP00031,SKILL025,Docker,Expert,14
ES00114,EMP00032,SKILL025,Machine Learning,Advanced,10
ES00115,EMP00032,SKILL018,JavaScript,Intermediate,5
ES00116,EMP00033,SKILL015,React,Expert,5
ES00117,EMP00033,SKILL013,Git,Expert,2
ES00118,EMP00033,SKILL011,JavaScript,Expert,4
ES00119,EMP00033,SKILL005,Machine Learning,Intermediate,1
ES00120,EMP00033,SKILL001,Data Analysis,Advanced,8
ES00121,EMP00034,SKILL030,Docker,Expert,12
ES00122,EMP00034,SKILL012,Docker,Expert,5
ES00123,EMP00034,SKILL021,Agile,Beginner,7
ES00124,EMP00034,SKILL029,Python,Beginner,7
ES00125,EMP00034,SKILL030,Agile,Intermediate,4
ES00126,EMP00035,SKILL009,Project Management,Advanced,9
ES00127,EMP00035,SKILL023,Kubernetes,Advanced,12
ES00128,EMP00035,SKILL002,Leadership,Expert,15
ES00129,EMP00035,SKILL014,Communication,Intermediate,4
ES00130,EMP00035,SKILL016,Python,Advanced,11
ES00131,EMP00036,SKILL023,Leadership,Intermediate,5
ES00132,EMP00036,SKILL020,Kubernetes,Intermediate,5
ES00133,EMP00037,SKILL020,Agile,Intermediate,1
ES00134,EMP00037,SKILL004,Project Management,Beginner,11
ES00135,EMP00037,SKILL023,Machine Learning,Expert,7
ES00136,EMP00038,SKILL029,Java,Intermediate,15
ES00137,EMP00038,SKILL014,JavaScript,Expert,5
ES00138,EMP00038,SKILL023,React,Expert,10
ES00139,EMP00038,SKILL010,Communication,Expert,13
ES00140,EMP00038,SKILL029,Machine Learning,Beginner,2
ES00141,EMP00038,SKILL021,Agile,Advanced,14
ES00142,EMP00039,SKILL009,Communication,Intermediate,15
ES00143,EMP00039,SKILL024,Docker,Advanced,1
ES00144,EMP00039,SKILL006,Data Analysis,Expert,1
ES00145,EMP00040,SKILL003,Project Management,Expert,9
ES00146,EMP00040,SKILL014,Leadership,Advanced,12
ES00147,EMP00041,SKILL006,JavaScript,Advanced,3
ES00148,EMP00041,SKILL023,JavaScript,Intermediate,8
ES00149,EMP00041,SKILL006,Git,Beginner,8
ES00150,EMP00041,SKILL019,Data Analysis,Intermediate,3
ES00151,EMP00041,SKILL007,Python,Intermediate,13
ES00152,EMP00042,SKILL009,Machine Learning,Expert,8
ES00153,EMP00042,SKILL021,Machine Learning,Beginner,14
ES00154,EMP00042,SKILL021,JavaScript,Beginner,5
ES00155,EMP00043,SKILL013,Java,Advanced,2
ES00156,EMP00043,SKILL011,Python,Intermediate,8
ES00157,EMP00044,SKILL022,Project Management,Beginner,1
